(43621, [[691, 202, 799, 250], 133, [4720, 157], [5585, 186]])
(43712, [[684, 201, 799, 250], 62, [5800, 193], [6751, 225]])
(43818, [[685, 203, 799, 251], 165, [6940, 231], [7275, 242]])
(43840, [[685, 201, 800, 250], 63, [7418, 247], [7561, 252]])
(43866, [[685, 205, 798, 250], 77, [7884, 263], [8049, 268]])
(43961, [[686, 201, 799, 250], 166, [8508, 284], [9395, 313]])
(44078, [[686, 201, 799, 250], 83, [9704, 323], [10165, 339]])
(44203, [[686, 201, 799, 249], 35, [10492, 350], [11279, 376]])
(44273, [[686, 201, 799, 250], 199, [11602, 387], [14401, 480]])
(44550, [[686, 201, 799, 250], 58, [14554, 485], [15803, 527]])
(44648, [[685, 205, 799, 250], 46, [16078, 536], [17007, 567]])
(44748, [[686, 199, 799, 250], 43, [17058, 569], [17703, 590]])
(44795, [[685, 200, 799, 250], 49, [17816, 594], [17917, 597]])
(44819, [[691, 202, 799, 250], 40, [17938, 598], [19257, 642]])
(44931, [[691, 201, 799, 250], 34, [19484, 649], [19791, 660]])
(44988, [[691, 202, 799, 250], 35, [20008, 667], [20835, 694]])
(45063, [[691, 201, 799, 250], 55, [21110, 704], [21705, 724]])
(45164, [[691, 201, 799, 250], 46, [21900, 730], [22745, 758]])
(45230, [[691, 202, 799, 250], 33, [22912, 764], [22991, 766]])
(45323, [[691, 200, 799, 248], 33, [23672, 789], [23845, 795]])
(45360, [[691, 203, 799, 250], 68, [23964, 799], [24101, 803]])
(45391, [[691, 203, 799, 250], 61, [24284, 809], [26727, 891]])

Start to end:1197.22
number of anomalies 22
